listing_id,similar_id,ranking
1,1,7
1,1,1
1,1,4
1,1,8
1,1,1
1,1,9
1,1,4
1,1,5
1,1,1
1,1,8
1,1,4
1,1,1
2,2,5
2,2,7
2,2,3
2,2,5
2,2,8
2,2,2
2,2,1
2,2,2
2,2,3
2,2,3
2,2,9
2,2,7
3,3,6
3,3,4
3,3,2
3,3,1
3,3,7
3,3,6
3,3,8
3,3,4
3,3,7
3,3,6
3,3,3
3,3,8
4,4,4
4,4,1
4,4,1
4,4,4
4,4,5
4,4,2
4,4,2
4,4,8
4,4,5
4,4,8
4,4,7
4,4,2
5,5,8
5,5,4
5,5,2
5,5,1
5,5,1
5,5,4
5,5,4
5,5,9
5,5,6
5,5,4
5,5,7
5,5,3
6,6,9
6,6,3
6,6,6
6,6,1
6,6,8
6,6,9
6,6,7
6,6,4
6,6,4
6,6,1
6,6,9
6,6,5
7,7,7
7,7,8
7,7,5
7,7,5
7,7,2
7,7,6
7,7,4
7,7,7
7,7,1
7,7,5
7,7,1
7,7,5
8,8,3
8,8,9
8,8,3
8,8,5
8,8,8
8,8,1
8,8,7
8,8,1
8,8,9
8,8,3
8,8,5
8,8,6
9,9,9
9,9,3
9,9,3
9,9,8
9,9,2
9,9,4
9,9,5
9,9,7
9,9,5
9,9,7
9,9,7
9,9,2
10,10,7
10,10,7
10,10,7
10,10,9
10,10,5
10,10,7
10,10,1
10,10,3
10,10,1
10,10,6
10,10,2
10,10,7
11,11,6
11,11,1
11,11,9
11,11,3
11,11,1
11,11,9
11,11,8
11,11,1
11,11,5
11,11,7
11,11,6
11,11,3
12,12,3
12,12,5
12,12,6
12,12,9
12,12,3
12,12,9
12,12,7
12,12,8
12,12,6
12,12,7
12,12,2
12,12,6
13,13,4
13,13,8
13,13,4
13,13,3
13,13,3
13,13,8
13,13,8
13,13,6
13,13,3
13,13,5
13,13,1
13,13,4
14,14,9
14,14,5
14,14,1
14,14,3
14,14,1
14,14,6
14,14,5
14,14,6
14,14,4
14,14,6
14,14,6
14,14,2
15,15,1
15,15,4
15,15,3
15,15,6
15,15,9
15,15,5
15,15,3
15,15,9
15,15,6
15,15,4
15,15,4
15,15,1
16,16,4
16,16,1
16,16,2
16,16,9
16,16,5
16,16,2
16,16,6
16,16,5
16,16,2
16,16,1
16,16,2
16,16,8
17,17,5
17,17,5
17,17,7
17,17,6
17,17,2
17,17,1
17,17,6
17,17,5
17,17,5
17,17,1
17,17,4
17,17,8
18,18,3
18,18,9
18,18,7
18,18,4
18,18,4
18,18,2
18,18,6
18,18,9
18,18,4
18,18,7
18,18,9
18,18,5
19,19,8
19,19,9
19,19,9
19,19,6
19,19,3
19,19,8
19,19,7
19,19,6
19,19,6
19,19,4
19,19,4
19,19,8
20,20,9
20,20,6
20,20,2
20,20,4
20,20,9
20,20,1
20,20,7
20,20,6
20,20,5
20,20,8
20,20,9
20,20,8
21,21,7
21,21,8
21,21,7
21,21,8
21,21,1
21,21,4
21,21,8
21,21,8
21,21,7
21,21,9
21,21,3
21,21,6
22,22,4
22,22,3
22,22,4
22,22,5
22,22,1
22,22,9
22,22,3
22,22,6
22,22,3
22,22,7
22,22,5
22,22,4
23,23,8
23,23,3
23,23,9
23,23,9
23,23,2
23,23,5
23,23,7
23,23,4
23,23,3
23,23,9
23,23,1
23,23,4
24,24,2
24,24,4
24,24,1
24,24,5
24,24,9
24,24,7
24,24,8
24,24,9
24,24,5
24,24,3
24,24,8
24,24,2
25,25,2
25,25,4
25,25,3
25,25,2
25,25,7
25,25,7
